"","film_id","year","length","budget","votes","genre","rating","high_rating","rate","log_votes","logodds.m2","odds.m2","probs.m2"
"1",31804,2002,18,9.6,15,"Drama",8,"1","Rating greater than 7",2.70805020110221,-0.717977803422814,0.487737560609991,0.327838439737996
"2",25453,2000,98,13.8,23,"Action",3.3,"0","Rating less than 7",3.13549421592915,-2.18064225487776,0.112968952475342,0.101502339507395
"3",5479,1989,81,11.5,57,"Documentary",7.9,"1","Rating greater than 7",4.04305126783455,2.84127604984926,17.1376200479367,0.944865974843609
"4",44235,1995,100,7.5,32,"Action",3.4,"0","Rating less than 7",3.46573590279973,-5.80551016228258,0.00301091830424741,0.00300187988914204
"5",14580,2003,80,10.8,30,"Action",2.6,"0","Rating less than 7",3.40119738166216,-2.63372618623162,0.0718103842296458,0.0669991495569049
"6",31060,1990,90,13.8,81,"Comedy",3.5,"0","Rating less than 7",4.39444915467244,1.412316573307,4.10545498401529,0.804131070956279
"7",44255,1967,98,13.6,19,"Documentary",8.2,"1","Rating greater than 7",2.94443897916644,2.86288396594592,17.5119580715127,0.945980862956963
"8",22834,1987,58,15.6,24,"Documentary",8.6,"1","Rating greater than 7",3.17805383034795,6.65781343478507,778.846076173288,0.99871769567027
"9",58656,1968,112,11.3,89,"Comedy",4.4,"0","Rating less than 7",4.48863636973214,-1.45056721641711,0.234437273702963,0.189914286207283
"10",23126,1931,15,15.7,7,"Comedy",7.9,"1","Rating greater than 7",1.94591014905531,7.50281341563343,1813.13635157195,0.999448773517419
"11",58403,1991,100,14.3,563,"Drama",4.9,"0","Rating less than 7",6.32076829425058,-3.62192698569256,0.0267311163520099,0.0260351672665633
"12",48004,1937,93,16.4,80,"Comedy",8.3,"1","Rating greater than 7",4.38202663467388,2.65133943465985,14.1730097577607,0.93409349786462
"13",35454,1971,68,10.2,5,"Drama",4,"0","Rating less than 7",1.94591014905531,-3.74407892249032,0.0236574093231425,0.0231106707260441
"14",58563,1987,90,13.7,108,"Action",3.6,"0","Rating less than 7",4.68213122712422,-1.6986822832037,0.182924407874259,0.154637444841448
"15",25377,1977,91,14.3,9,"Comedy",8.5,"1","Rating greater than 7",2.19722457733622,1.62217185088918,5.06407680144594,0.83509443683801
"16",33737,1972,105,8.6,61,"Action",4.5,"0","Rating less than 7",4.11087386417331,-5.53190635623427,0.00395843570307584,0.0039428282708773
"17",2039,1999,73,15.3,12,"Documentary",8.5,"1","Rating greater than 7",2.484906649788,5.48403821385479,240.817217916703,0.995864645170368
"18",58299,1975,15,15.1,158,"Animation",8.2,"1","Rating greater than 7",5.06259503302697,3.70582577697073,40.6836290534163,0.97600976635891
"19",22438,2001,110,10.4,8037,"Comedy",4,"0","Rating less than 7",6.32076829425058,-1.81487258716271,0.162858657351937,0.140050260040028
"20",15410,1936,69,12.1,45,"Comedy",7.4,"1","Rating greater than 7",3.80666248977032,1.88101197293177,6.56014018853898,0.867727320517683
"21",18642,1994,112,9.3,89722,"Comedy",3.8,"0","Rating less than 7",6.32076829425058,-2.55867090479223,0.0774075541128035,0.0718461215696089
"22",42298,2000,112,12.2,6,"Comedy",3.4,"0","Rating less than 7",1.94591014905531,-0.951920556648311,0.385998978208784,0.278498746591888
"23",5,1975,71,13.5,17,"Action",4.6,"0","Rating less than 7",2.83321334405622,-0.533250406320802,0.586694870345635,0.36975910196132
"24",10500,1944,71,15.2,124,"Drama",4.6,"0","Rating less than 7",4.82028156560504,-1.17533163508733,0.308716581459083,0.235892618640849
"25",22021,1980,88,16.7,51,"Comedy",8.4,"1","Rating greater than 7",3.93182563272433,3.15340821047413,23.4157344894609,0.959042804940738
"26",27560,1977,90,10.8,3756,"Comedy",8.3,"1","Rating greater than 7",6.32076829425058,-0.249838959255673,0.778926211828492,0.437863137126898
"27",11454,1941,15,10.9,37,"Animation",7.7,"1","Rating greater than 7",3.61091791264422,1.37880803138299,3.97016649212608,0.798799496639753
"28",52193,1990,90,11.4,113,"Drama",4.6,"0","Rating less than 7",4.72738781871234,-4.55697088872047,0.0104937977300695,0.0103848215136424
"29",11590,1995,42,14.2,100,"Short",8.9,"1","Rating greater than 7",4.60517018598809,5.23057675178049,186.900567675778,0.994678036302022
"30",38508,2002,88,15.1,5,"Comedy",8.4,"1","Rating greater than 7",1.94591014905531,2.26692525977403,9.64968487882852,0.906100508007707
"31",10990,1986,95,14.8,10,"Action",3.9,"0","Rating less than 7",2.30258509299405,-1.42507847715539,0.240489589528888,0.193866672932113
"32",49948,1972,89,12.8,8,"Comedy",4.2,"0","Rating less than 7",2.07944154167984,0.925435373631043,2.52296645434468,0.716148304856336
"33",36161,1982,89,12,42,"Action",2.5,"0","Rating less than 7",3.73766961828337,-2.57339977381096,0.0762757836967345,0.0708701104792551
"34",26239,1901,15,9.3,5,"Documentary",9.1,"1","Rating greater than 7",1.94591014905531,6.05562453040229,426.505187751743,0.997660847099285
"35",12582,1997,15,9.9,21,"Comedy",7.2,"1","Rating greater than 7",3.04452243772342,4.28931271934559,72.9163372864921,0.986471191123498
"36",45281,1979,91,8.7,33,"Action",2.5,"0","Rating less than 7",3.49650756146648,-4.5361121486531,0.0107149839425505,0.0106013902166108
"37",52644,1970,105,15.8,12,"Comedy",8.1,"1","Rating greater than 7",2.484906649788,1.51286059400811,4.53969847208859,0.819484759858603
"38",886,1997,112,10.5,43,"Action",2.7,"0","Rating less than 7",3.76120011569356,-4.94940236385911,0.00708764349546774,0.00703776234496083
"39",53182,2001,89,14.5,343,"Drama",4,"0","Rating less than 7",5.83773044716594,-2.77223952722744,0.0625218284992513,0.0588428649861807
"40",39748,1990,100,10,63,"Action",4.9,"0","Rating less than 7",4.14313472639153,-4.42038055181368,0.0120296535070879,0.0118866610927855
"41",7390,1959,95,10.5,51,"Comedy",7.4,"1","Rating greater than 7",3.93182563272433,-0.751907735069945,0.471466261534083,0.320405757072917
"42",12065,1994,54,13.9,16,"Documentary",8.6,"1","Rating greater than 7",2.77258872223978,5.98460787771263,397.266713571094,0.997489119813621
"43",56756,1970,96,14.2,184,"Comedy",8.3,"1","Rating greater than 7",5.21493575760899,1.23091344391242,3.42435606531965,0.773978408329631
"44",28191,1961,95,13.4,24,"Drama",3.7,"0","Rating less than 7",3.17805383034795,-3.78472042290336,0.0227152125422377,0.022210691953797
"45",2267,1992,65,10,38,"Action",4.7,"0","Rating less than 7",3.63758615972639,-2.06940799390765,0.126260506573182,0.112105952251978
"46",47806,1994,95,14.7,50,"Action",5,"0","Rating less than 7",3.91202300542815,-1.48048366157415,0.227527615402295,0.185354376184627
"47",23099,1948,97,13.9,60,"Drama",4.9,"0","Rating less than 7",4.0943445622221,-3.64203578983278,0.0261989540744941,0.0255300923573074
"48",58612,1961,15,15.6,31,"Animation",8.1,"1","Rating greater than 7",3.43398720448515,3.98285169906452,53.669866516209,0.981708387751349
"49",10457,1990,93,10.7,54,"Comedy",7.8,"1","Rating greater than 7",3.98898404656427,-0.506756077209233,0.602446703043331,0.375954284095176
"50",22152,1985,89,7.2,51,"Comedy",4.2,"0","Rating less than 7",3.93182563272433,-2.17725495381929,0.113352261152078,0.101811677316561
"51",14728,1971,85,7.2,87,"Comedy",3.4,"0","Rating less than 7",4.46590811865458,-1.90857237577288,0.148291940716891,0.129141323263412
"52",24016,1974,102,10,109,"Action",5.9,"0","Rating less than 7",4.69134788222914,-4.55472184083688,0.0105174253435026,0.0104079603970485
"53",55122,1932,77,11.4,12,"Comedy",8.3,"1","Rating greater than 7",2.484906649788,0.955810525907674,2.6007777265844,0.722282219028117
"54",21417,1915,96,9.4,13,"Drama",7.7,"1","Rating greater than 7",2.56494935746154,-6.06809844416519,0.00231557221665828,0.0023102227290925
"55",54090,1927,60,13.8,72,"Comedy",7.9,"1","Rating greater than 7",4.27666611901606,3.42743590865503,30.797573630783,0.968551059536445
"56",43921,1921,22,14.6,12,"Comedy",8,"1","Rating greater than 7",2.484906649788,6.42316187544591,615.947587967883,0.998379116768583
"57",16282,1999,20,7.3,13,"Short",8.1,"1","Rating greater than 7",2.56494935746154,2.88537320614155,17.9102505638872,0.947118627718784
"58",45539,1974,102,14,73,"Drama",4.7,"0","Rating less than 7",4.29045944114839,-3.92248382797203,0.0197918740314456,0.0194077581273562
"59",29620,1934,15,15.9,12,"Animation",8,"1","Rating greater than 7",2.484906649788,4.14906725232078,63.3748599673526,0.984465985626887
"60",38463,2000,100,12.6,20,"Action",4.6,"0","Rating less than 7",2.99573227355399,-2.97984575692603,0.0508006689119649,0.0483447245656645
"61",50701,1946,40,10.1,5,"Short",6.9,"0","Rating less than 7",1.94591014905531,3.0933054796347,22.0498429547669,0.956615756473378
"62",30262,1998,92,11.1,36,"Action",3.9,"0","Rating less than 7",3.58351893845611,-3.27355836711456,0.0378714265880228,0.0364895165411039
"63",296,2000,105,11.2,25,"Comedy",4.7,"0","Rating less than 7",3.2188758248682,-1.03577788925466,0.354950161588213,0.261965474192907
"64",20380,1944,95,14.5,19,"Comedy",7.8,"1","Rating greater than 7",2.94443897916644,1.46429964168029,4.32451347047462,0.812189413071226
"65",11095,2000,84,13,629,"Action",3.9,"0","Rating less than 7",6.32076829425058,-1.68349470706539,0.185723790354519,0.156633266419483
"66",48492,1986,112,10.2,75,"Comedy",4.1,"0","Rating less than 7",4.31748811353631,-2.06002424502343,0.127450879807794,0.113043399131962
"67",49209,1963,97,11.6,35,"Drama",4.3,"0","Rating less than 7",3.55534806148941,-4.91635503146416,0.0073257844954098,0.00727250767146742
"68",50639,2004,15,7.2,32,"Drama",3.3,"0","Rating less than 7",3.46573590279973,-1.84619029593815,0.157837335893151,0.136320820723402
"69",56925,1936,19,14.8,7,"Comedy",8.4,"1","Rating greater than 7",1.94591014905531,6.73548417781822,841.75094257285,0.99881340981127
"70",28074,1982,97,12.4,10,"Drama",3.3,"0","Rating less than 7",2.30258509299405,-4.47311355611412,0.0114117294191732,0.0112829712047403
"71",21519,1999,104,10.5,804,"Drama",4.8,"0","Rating less than 7",6.32076829425058,-5.99600657165169,0.00248867068712627,0.00248249258060989
"72",49055,1997,97,10.7,1607,"Action",4.8,"0","Rating less than 7",6.32076829425058,-3.83103232734759,0.0216872157639146,0.0212268641804421
"73",51532,2002,95,12.8,17,"Drama",2.4,"0","Rating less than 7",2.83321334405622,-4.11715152941589,0.0162908524283551,0.0160297147115211
"74",31940,1992,100,7.9,503,"Comedy",4.7,"0","Rating less than 7",6.22059017009974,-2.5282957525156,0.0797948947197741,0.0738981959536698
"75",29259,1951,59,16.82,12,"Action",8.3,"1","Rating greater than 7",2.484906649788,2.1122494505211,8.26681617910307,0.892088072033302
"76",44792,1983,103,12.6,15,"Comedy",7.5,"1","Rating greater than 7",2.70805020110221,-0.12576401836888,0.8818229162423,0.468600370752823
"77",83,1968,100,11.5,19,"Action",5.1,"0","Rating less than 7",2.94443897916644,-3.58930278553234,0.0276175790879476,0.0268753470648676
"78",51854,1998,87,16.8,32,"Drama",2.8,"0","Rating less than 7",3.46573590279973,-1.36357899657285,0.255743830764868,0.203659237257885
"79",14295,2003,15,14.2,22,"Comedy",8.1,"1","Rating greater than 7",3.09104245335832,6.67173564935209,789.765170982514,0.998735402067901
"80",45677,1964,86,14.9,7,"Drama",3.7,"0","Rating less than 7",1.94591014905531,-2.34910685601761,0.0954543786584998,0.0871367904662482
"81",17415,1978,112,11.5,271,"Drama",2.7,"0","Rating less than 7",5.6021188208797,-5.97931988355693,0.00253054677356977,0.0025241592704719
"82",42964,1990,74,8.4,1649,"Animation",4,"0","Rating less than 7",6.32076829425058,-3.96938960527036,0.018884956895931,0.0185349256244441
"83",33887,1985,100,11.5,750,"Action",3.2,"0","Rating less than 7",6.32076829425058,-3.58930278553234,0.0276175790879476,0.0268753470648676
"84",39739,1990,80,16.8,19,"Animation",5.6,"0","Rating less than 7",2.94443897916644,0.28162201883553,1.3252776952973,0.569943838526286
"85",13573,1995,25,8.1,10,"Short",8.6,"1","Rating greater than 7",2.30258509299405,2.99276145893359,19.9406718776532,0.952246040344716
"86",48580,1938,66,11.7,7,"Drama",2.3,"0","Rating less than 7",1.94591014905531,-2.77865986718578,0.0621217029509476,0.0584883095584542
"87",54450,1992,112,9.8,2297,"Action",5.6,"0","Rating less than 7",6.32076829425058,-5.3372386547904,0.00480913206607225,0.00478611500692056
"88",20109,1979,90,7.7,42,"Action",4.4,"0","Rating less than 7",3.73766961828337,-5.02299334832906,0.00658478661954711,0.00654171084947653
"89",52407,1962,112,14.6,30139,"Drama",4.9,"0","Rating less than 7",6.32076829425058,-4.2617591665755,0.0140974807668987,0.0139015045735422
"90",26672,1986,77,14.1,111,"Comedy",9,"1","Rating greater than 7",4.70953020131233,2.45175050521408,11.6086499458455,0.920689367672587
"91",26290,2004,107,16.8,51,"Action",8,"1","Rating greater than 7",3.93182563272433,-1.12302252291949,0.325295095353337,0.245451067082241
"92",7159,1947,70,9.4,23,"Action",2.5,"0","Rating less than 7",3.13549421592915,-2.73769232297819,0.0647195264619124,0.0607855166110994
"93",38828,1997,97,11.7,11,"Action",5.1,"0","Rating less than 7",2.39789527279837,-3.27698048316003,0.0377420476725241,0.0363693923332614
"94",39351,1999,88,7.2,14,"Drama",4.7,"0","Rating less than 7",2.63905732961526,-6.74964734528502,0.00117129260982711,0.00116992228849652
"95",46356,1980,100,13,63,"Action",3.3,"0","Rating less than 7",4.14313472639153,-2.758225019251,0.0634042097912161,0.0596238092791307
"96",9092,1985,76,11.9,10,"Action",5.3,"0","Rating less than 7",2.30258509299405,-1.7555865795789,0.172805848175111,0.147343951638711
"97",48733,1977,96,12.8,60,"Drama",4.9,"0","Rating less than 7",4.0943445622221,-4.18432217392749,0.0152325274476817,0.015003978926854
"98",25163,1998,50,15.3,8,"Documentary",7.2,"1","Rating greater than 7",2.07944154167984,7.02896303762161,1128.85941830309,0.999114934137999
"99",7970,1990,68,10.9,17,"Action",1.7,"0","Rating less than 7",2.83321334405622,-1.77227326767365,0.169946216133647,0.145259853649745
"100",14136,2003,83,14.3,7,"Documentary",7.9,"1","Rating greater than 7",1.94591014905531,4.25827992455123,70.6882896314914,0.986050720345813
"101",53858,1951,106,13.3,65,"Action",4.4,"0","Rating less than 7",4.17438726989564,-2.99503333306434,0.0500349592402735,0.0476507556248176
"102",56110,1967,100,9.8,18,"Documentary",7.7,"1","Rating greater than 7",2.89037175789616,0.623145669009997,1.86478482109437,0.650933643379891
"103",43755,1948,86,13.6,16,"Action",2.6,"0","Rating less than 7",2.77258872223978,-1.48540488957606,0.226410650803166,0.184612430310265
